id,createdTime,Official_Name,Country,ISO_Country_Code,Alternative_Names,Region,Coordinates,loc_id,city_x,country_x,latitude,longitude,World_Bank_region,World_Bank_country_income_level,population_2020,Plan_doc,elevation,CDD21,Tmax35_days,Tmax40_days,Tmax95pctl_days,Tmax_highest,arbovirus_days,heatwave_count,heatwave_duration,malaria_days,pr90pctl_days,pr_highest,CDD21_score,Tmax35_days_score,Tmax40_days_score,Tmax95pctl_days_score,Tmax_highest_score,arbovirus_days_score,heatwave_count_score,heatwave_duration_score,malaria_days_score,pr90pctl_days_score,pr_highest_score,elevation_score
rec0owRlGjQh0mwd3,2025-02-26T15:34:45.000Z,Pune,India,IN,"پوونە, ᱯᱩᱱᱮ ᱱᱟᱝᱜᱽᱨᱟᱦᱟ, پونه, Q1538, पुणे शहर, Pun, INPNQ, 浦那, پونے, پوني, プネー, بونه, Πούνε, புணே, Пунæ, Пуно, ಪುಣೆ, პუნა, Púne, Puné, PNQ, පූන්, Պունի, پونا, পুনে, پونی, Puna, पुणे, ਪੂਨਾ, 푸네, Puneo, পুণে, פונה, Пуна, INPUM, Poona, Пуне, પુના, poona, പൂണെ, ପୁଣେ, 浦納, పూణే, ปุเณ",Maharashtra,"18.51957,73.85535",558,Pune,India,18.5691213,73.8524993,South Asia,Lower middle income,"6,705,532",Y,559.9978916,1399.053672,46.73898333,0.993451111,58.11987889,39.0409981,74.45395556,6.036773333,26.32796667,246.2761178,74.04147778,54.80576225,6,7,6,3,6,7,3,7,9,10,6,2
rec1rNcfpiBnMXqgV,2025-02-26T15:34:45.000Z,Minneapolis,United States,US,"Миннеаполис, MSP, Mineápolis, Մինեապոլիս, Минеаполис, منیاپولس, Mìn-nì-â-pô-li-sṳ̂, ミネアポリス, مینیاپولیس, Minyapolis, Q36091, Gakaabikaang, 明尼阿波利斯, מיניאפוליס, Minneapòlis, Mineapoli, Міннеаполіс, Mineapolis, 미니애폴리스, मिनीयापोलिस, மினியாப்பொலிஸ், মিনিয়াপোলিস, Μινεάπολη, มินนีแอโพลิส, USMES, મિનેપોલિસ, मिनियापोलिस, మిన్నియాపోలిస్, Mineapolisa, 明尼亞波利斯, Мінеапаліс, მინეაპოლისი, City of Minneapolis, Minnéapolis, مينيابولس, ಮಿನ್ನಿಯಾಪೋಲಿಸ್",Minnesota,"44.97997,-93.26384",75,Minneapolis,United States,44.99994671,-93.2301204,North America,High income,"1,835,653",Y,261,373.48875,16.97293333,5.989,75.67433333,37.91066651,22.31793667,7.510222222,23.76193333,58.92405778,36.32721778,39.12881455,3,5,8,7,6,3,6,6,3,1,4,4
rec26hIHlBlZNsJpl,2025-02-26T15:34:45.000Z,George Town,Malaysia,MY,"ပီနန်မြို့, 乔治市, Џорџ Таун, MYNTL, جرج تاون پنانگ, ジョージタウン, جارج ٹاؤن، پینانگ, ജോർജ്ജ് ടൗൺ, جورجتون, Penang, Džordžtauna, जर्ज टाउन, Pinang George Town, Ĝorĝtaŭno, MYGTI, גורג טאון, جورج تاون, ჯორჯტაუნი, Džordžtaunas, 조지타운, จอร์จทาวน์, Pinang, Khiâu-chhṳ-sṳ, ஜார்ஜ் டவுன், Джорджтаун, Q61092, Georgetown, MYPEN, جورج تون, PEN, 喬治市",Penang,"5.41123,100.33543",780,George Town,Malaysia,5.372127221,100.2897535,East Asia & Pacific,Upper middle income,"740,674",N,208.1243097,2694.208554,0,0,121.74862,33.0689261,311.7327256,14.63212,30.69539444,139.2525,44.20323556,66.90184661,10,1,3,10,2,10,10,8,8,7,8,4
rec2FIOiQp4GCnFlv,2025-02-26T15:34:45.000Z,Toronto,Canada,CA,"တိုရွန်တိုမြို့, تورنتو, Таронта, טאראנטא, ტორონტო, Torontum, 多倫多, 토론토, 多伦多, ਟੋਰਾਂਟੋ, โทรอนโต, Տորոնտո, Torontó, YTO, टोरन्टो, Torontas, ಟೊರಾಂಟೋ, టొరంటో, تورونتو, ടോറോണ്ടോ, ٹورنٹو, Torontu, CATOR, Торонто, Τορόντο, टोराँटो, টরোন্টো, टोरण्टो, ரொறன்ரோ, तोरन्तो, ٹورانٹو, トロント, טורונטו, Q172",Ontario,"43.70643,-79.39864",109,Toronto,Canada,43.65246768,-79.53381024,North America,High income,"6,193,982",Y,123.93408,181.7600933,3.288633333,0,56.5641,35.46603236,9.617706667,8.038875556,15.65287111,35.87081111,40.61246667,41.67905317,2,3,3,3,4,2,7,2,2,4,4,5
rec2bNwtiheJsGsl1,2025-02-26T15:34:45.000Z,Portland,United States,US,"포틀랜드, بورتلاند، أوريغون, Portlandas, Պորտլենդ, Портланд, 波特蘭, Portlenda, ფორთლენდი, Rip City, The City of Roses, ポートランド, พอร์ตแลนด์, போர்ட்லன்ட், Puddletown, PDX, Portlandia, პორტლენდი, पोर्टलैंड, ಪೋರ್ಟ್‌ಲ್ಯಾಂಡ್‌, पोर्टलंड, Bridgetown, Портленд, Πόρτλαντ, پورتلند، اورگن, P-town, Portlando, పోర్ట్ లాండ్, Stumptown, River City, Portland i Oregon, USPDX, פורטלנד, Portlend",Oregon,"45.52345,-122.67621",16,Portland,United States,45.53094903,-122.6657332,North America,High income,"1,814,470",Y,27.45042841,82.09317556,11.12423111,2.721633333,59.20183333,38.31072522,4.066751111,8.474526667,16.48954667,15.63461556,41.88526,61.58016797,1,5,7,3,6,2,8,2,1,6,8,8
rec2ri86yzeyYgDpd,2025-02-26T15:34:45.000Z,Wellington,New Zealand,NZ,"Te Whanga-nui-a-Tara, ველინგთონი, Велінгтан, ۋېللىنگتون, ዌሊንግተን, װעלינגטאן, Q23661, ویلنگٹن, 惠灵顿, Ουέλλινγκτον, ওয়েলিংটন, เวลลิงตัน, Ουέλλιγκτον, 威靈頓, ולינגטון, Vellinqton, ウェリントン, 웰링턴, Vellingtonia, ويلينغتون, Whanga-nui-a-Tara, वेलिंग्टन, ويلينجتون, Velingtono, ৱেলিংটন, Velingtonas, Wellinton, वेलिंगटन, Welintòn, वेलिङ्गटन, Hiê-lìng-dóng, Vellington, Велингтон, WLG, Weolingtūn, ولینگتون, ဝယ်လင်တန်မြို့, Уелингтън, વેલિંગ્ટન, Ueligitone, NZWLG, വെല്ലിംഗ്ടൺ, Веллінгтон, Վելինգտոն, ཝེ་ལིང་ཐོན།, ವೆಲ್ಲಿಂಗ್ಟನ್, ਵੈਲਿੰਗਟਨ, Velingtona, Веллингтон, უელინგტონი, வெலிங்டன்",Wellington Region,"-41.28664,174.77557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rec4jT76Dak2rT0oH,2025-02-26T15:34:45.000Z,Montreal,Canada,CA,"مونترآل, Μοντρεαλ, Монреаль, 蒙特利尔, Montreali, Monrealis, Μόντρεαλ, מונטריאול, მონრეალი, Montreal City, Монреал, YMQ, Monreyal, 몬트리올, مونترېئال, Montréal, モントリオール, Mont-real, Монтреал, CAMTR, Monreāla, Montrealo, مونتریال, ᒧᕆᐊᓪ, Lungsod ng Montréal, Mons Regius",Quebec,"45.50884,-73.58781",130,Montreal,Canada,45.53269003,-73.66822949,North America,High income,"3,181,624",N,30,144.6879456,1.825853333,0,59.5596,35.45256057,5.664818889,7.722494444,15.71982889,28.331,42.30230556,43.11866043,2,3,3,4,4,2,7,2,2,6,5,8
rec5BHV2v7LPMoJPM,2025-02-26T15:34:45.000Z,New York,United States,US,"นครนิวยอร์ก, নিউ ইয়র্ক সিটি, ניו יורק, Nov-Jorko, Big Apple, Ņujorka, Bandar Raya New York, Aebura, New York City, Cathair Nua-Eabhrac, Њу Јорк, Nova Iorque, Ню Йорк, न्यूयॉर्क, New Yorc, Neu Jorck, City of New York, 뉴욕, ニューヨーク, Lungsod ng New York, Ga-no-no, The Big Apple, 뉴욕 시, Neu Amsterdam, マンハッタン, Nova-York, Њујорк, Kanono, Нью-Ёрк, Eabhraig Nuadh, New Amsterdam, نیویارک شہر, USNYC, Nýja Jórvík, Niujorkas, NYC, Efrog Newydd, نیویورک, NY, Nyu York Shehiri, Նյու Յորք, 紐約市, New Orange, ניו יארק, Νέα Υόρκη, Nowy Jork, நியூயார்க் நகரம், Nueva York, Nova York, ניו־יאָרק, Nei Yarrick Schtadt, New York borg, 紐約, Nouvieau York, Nova Amsterda, New Yorke, Novjorko, نيويورك, Thành phố New York, Нью-Йорк, Evrek Nowydh, New Yorku, ნიუ-იორკი, Njujork, Nua-Eabhrac, Kanón:no, Q60, New York Stad, Kota New York, New York kenti, Նիւ Եորք, Novum Eboracum, Nòva York, Nouvelle Yorck, York Berri, New York-borg",New York,"40.71427,-74.00597",119,New York,United States,40.77321423,-73.88090455,North America,High income,"16,497,127",Y,2.571228,434.0805467,4.279965556,0,65.66034,36.2212808,31.39752889,8.129913333,16.12367333,66.67794889,42.65280556,67.43475953,3,4,3,5,4,3,7,2,4,6,8,10
rec5vNseJ2vUk6YrG,2025-02-26T15:34:45.000Z,Phoenix,United States,US,"PHX, ፊኒክስ፥ አሪዞና, Phoeniks, Féniks, ฟีนิกซ์, Finiks, USPHX, 鳳凰城, Salt River, Finiksos, Hoozdoh, Ֆինիքս, فینکس, Finiksas, Фінікс, フェニックス, East Phoenix, 凤凰城, Q16556, ఫీనిక్స్ నగరం, பீனிக்ஸ், फिनिक्स, Pēniki, Fenikso, Smiths Station, ಫೀನಿಕ್ಸ್, Phenix, फीनिक्स, Smith Station, فينيكس, 피닉스, Финикс, פיניקס, ਫ਼ੀਨਿਕਸ, Fīniksa, फिनिक्स्, פניקס, ფინიქსი, فینیکس، آریزونا, ഫീനിക്സ്, Hellings Mill, Φοίνιξ, Pumpkinsville, Smith Station Phenix, फ़ीनिक्स, Mill City, ফিনিক্স",Arizona,"33.44838,-112.07404",12,Phoenix,United States,33.47756006,-112.0005369,North America,High income,"4,117,029",Y,357,2232.874556,162.2950433,98.21937778,70.20532333,47.43365875,29.60808,7.372778889,20.11712444,48.20034667,44.41808,32.12418186,8,10,10,6,10,3,6,4,2,7,3,3
rec6Gm2FW438HeNCj,2025-02-26T15:34:45.000Z,Warsaw,Poland,PL,"ワルシャワ, Warschau, 華沙, Varsovia, ۋارشاۋا, Warszaw, वॉर्सो, 华沙, 바르샤바, ვარშავა, Varşova, Warskou, Varšava, Varsó, Waršawa, Варшава, Varsóvia, وارسو, ورشو, Vársá, ורשה, Varsovie, Barsobia, Varsjá, Варшавæ, WAW, Warsawa, Varsòvia, Βαρσοβία, Varsovio, Varsavja, Varsova, PLWAW, Warszawa, װאַרשע, Վարշավա, Q270, วอร์ซอ, Varsavia, Varșovia, Varšuva, Varssavi, ዋርሶው, ווארשע, ܘܪܣܘ, Varshava",Mazovia,"52.22977,21.01178",311,Warsaw,Poland,52.22529923,20.99571251,Europe & Central Asia,High income,"1,882,981",Y,115.512192,107.7625867,2.999993333,0,57.18829778,34.71277333,4.0673,7.483021111,16.24456889,24.62759667,40.98990222,35.71416959,1,3,3,3,3,2,6,2,1,5,4,5
