date,value
2025-03-01,2755
2025-02-28,10769
2025-02-27,11942
2025-02-26,12527
2025-02-25,13859
2025-02-24,11843
2025-02-23,2607
2025-02-22,2807
2025-02-21,11406
2025-02-20,12940
2025-02-19,13591
2025-02-18,11449
2025-02-17,6600
2025-02-16,2121
2025-02-15,3271
2025-02-14,12097
2025-02-13,13223
2025-02-12,12417
2025-02-11,13314
2025-02-10,11186
2025-02-09,2156
2025-02-08,3020
2025-02-07,11762
2025-02-06,12081
2025-02-05,12348
2025-02-04,13217
2025-02-03,11634
2025-02-02,2228
2025-02-01,4047
2025-01-31,11603
2025-01-30,10815
2025-01-29,11940
2025-01-28,12563
2025-01-27,9951
2025-01-26,1568
2025-01-25,2562
2025-01-24,11936
2025-01-23,12415
2025-01-22,11932
2025-01-21,10316
2025-01-20,6005
2025-01-19,1497
2025-01-18,2269
2025-01-17,10208
2025-01-16,11328
2025-01-15,10444
2025-01-14,10940
2025-01-13,9471
2025-01-12,1429
2025-01-11,2155
2025-01-10,10117
2025-01-09,10382
2025-01-08,11280
2025-01-07,12446
2025-01-06,9689
2025-01-05,1871
2025-01-04,3123
2025-01-03,10544
2025-01-02,8120
2025-01-01,5137
2024-12-31,7965
2024-12-30,7654
2024-12-29,2479
2024-12-28,2629
2024-12-27,8308
2024-12-26,6513
2024-12-25,2398
2024-12-24,8556
2024-12-23,7745
2024-12-22,1898
2024-12-21,3887
2024-12-20,10163
2024-12-19,11164
2024-12-18,10070
2024-12-17,11258
2024-12-16,9993
2024-12-15,1822
2024-12-14,2631
2024-12-13,9978
2024-12-12,11190
2024-12-11,11289
2024-12-10,12390
2024-12-09,10216
2024-12-08,1355
2024-12-07,2761
2024-12-06,9574
2024-12-05,10798
2024-12-04,10203
2024-12-03,11119
2024-12-02,10714
2024-12-01,2347
2024-11-30,1348
2024-11-29,4515
2024-11-28,5053
2024-11-27,8739
2024-11-26,10073
2024-11-25,9634
2024-11-24,1426
2024-11-23,2403
2024-11-22,8864
2024-11-21,10644
2024-11-20,10282
2024-11-19,11559
2024-11-18,8744
2024-11-17,1814
2024-11-16,2152
2024-11-15,9435
2024-11-14,9805
2024-11-13,11456
2024-11-12,11418
2024-11-11,8478
2024-11-10,3279
2024-11-09,3061
2024-11-08,9028
2024-11-07,9890
2024-11-06,9389
2024-11-05,10867
2024-11-04,10514
2024-11-03,2653
2024-11-02,2247
2024-11-01,9370
2024-10-31,9855
2024-10-30,9862
2024-10-29,10127
2024-10-28,8713
2024-10-27,2600
2024-10-26,3137
2024-10-25,9663
2024-10-24,10617
2024-10-23,8546
2024-10-22,8736
2024-10-21,8007
2024-10-20,2353
2024-10-19,2252
2024-10-18,8236
2024-10-17,9062
2024-10-16,9550
2024-10-15,8476
2024-10-14,5343
2024-10-13,1845
2024-10-12,2358
2024-10-11,7714
2024-10-10,8989
2024-10-09,8606
2024-10-08,7987
2024-10-07,7990
2024-10-06,2478
2024-10-05,2304
2024-10-04,8526
2024-10-03,8011
2024-10-02,7134
2024-10-01,8782
2024-09-30,7617
2024-09-29,1317
2024-09-28,1874
2024-09-27,6037
2024-09-26,7306
2024-09-25,7812
2024-09-24,8052
2024-09-23,6413
2024-09-22,1628
2024-09-21,2092
2024-09-20,6567
2024-09-19,6829
2024-09-18,7635
2024-09-17,8132
2024-09-16,7225
2024-09-15,2207
2024-09-14,1706
2024-09-13,7612
2024-09-12,8243
2024-09-11,7830
2024-09-10,8021
2024-09-09,7912
2024-09-08,1476
2024-09-07,1938
2024-09-06,6670
2024-09-05,6994
2024-09-04,7515
2024-09-03,8930
2024-09-02,3944
2024-09-01,1981
2024-08-31,2452
2024-08-30,6977
2024-08-29,7010
2024-08-28,7836
2024-08-27,8307
2024-08-26,5931
2024-08-25,1585
2024-08-24,1236
2024-08-23,5734
2024-08-22,6429
2024-08-21,7197
2024-08-20,7001
2024-08-19,6768
2024-08-18,1904
2024-08-17,2537
2024-08-16,7621
2024-08-15,6732
2024-08-14,6985
2024-08-13,8081
2024-08-12,7398
2024-08-11,1504
2024-08-10,2234
2024-08-09,6208
2024-08-08,7960
2024-08-07,9094
2024-08-06,9696
2024-08-05,8140
2024-08-04,1309
2024-08-03,2355
2024-08-02,7450
2024-08-01,9106
2024-07-31,7118
2024-07-30,7639
2024-07-29,7427
