id,createdTime,extraction_id,city,page_number,solution_name,climate_problem,category,subcategory,quote,context,solution_description,reasoning,confidence,technical_components,implementation_details,solution_type,source_file,extraction_date,matches_taxonomy,solution_quality_triage,has_tech_components,has_implementation,has_climate_link,solution_set,upsert_status,recategorize_to,original_cat,Last Updated Time,solution_key,file-page-quote,Created time,subcategory_link,category_link,taxonomy_mismatch_reason,solution_quality_notes,need_recat,solution_recat_notes,solution_type_manual,need_add_cat,solution_add_cat_notes
rec00JPcqJ61uuwvI,2025-02-18T16:17:12.000Z,de10ac31-f65c-4fe2-a6e6-cba6c9ac3a82,New York,131,Social Media and Mobile App Expansion,Improving communication and access to information during climate-related events.,Community Resilience,Emergency Information Sharing,The expansion of social media and mobile app offerings will streamline the customer experience.,The expansion of social media and mobile app offerings will streamline the customer experience. We will continue to develop other ways to enhance the digital experience of New York City residents so they can receive services and information in a more efficient and simple manner.,Expansion of social media and mobile app offerings to improve the customer experience and enhance access to services and information.,"Social media and mobile apps enhance communication and information sharing, which are critical for community resilience during climate-related events.",0.7,"social media, mobile apps
",The city will expand its digital offerings to streamline service delivery and improve communication.,Climate Adaptation,New-York-City-Resilience-Strategy-English.pdf,2025-02-15T11:59:12.726Z,Yes,pending,Yes,Yes,Yes,"[""recNS4CMKQouGcpfy""]",NEW,The Category is recategorize from Community Resilience to ,Community Resilience,2025-02-18T16:17:12.000Z,Source: New-York-City-Resilience-Strategy-English.pdf + Page: 131+ solution: Social Media and Mobile App Expansion,New-York-City-Resilience-Strategy-English.pdf-131-The expansion of social media and mobile app offerings will streamline the customer experience.,2025-02-18T16:17:12.000Z,,,,,,,,,
rec00h3V34O4xzf8v,2025-02-03T18:14:12.000Z,0d7875a6-ec89-4f2b-9c35-28a6486ec6e0,Chicago,86,Outdoor Air Quality Monitoring Network,Air quality monitoring and management,Hazard Monitoring,Air Quality Alert Systems,Establish a robust outdoor air quality monitoring network by 2025,Percentage increase in City-coverage; number of new air quality monitors installed,A network of air quality monitors to track and report air pollution levels across the city.,"The solution involves a network of sensors for real-time air quality monitoring, which is a digital system enhancing environmental monitoring capabilities.",0.8,"monitoring network
","Establishment by 2025, with a focus on increasing city coverage and installing new monitors.",Climate Adaptation and Resilience,Chicago-CAP-071822.pdf,2025-02-03T02:35:59.717Z,Yes,pending,Yes,Yes,Yes,"[""recWpb3QxnEiVqlJo""]",,,Hazard Monitoring,2025-02-09T21:43:29.000Z,Source: Chicago-CAP-071822.pdf + Page: 86+ solution: Outdoor Air Quality Monitoring Network,Chicago-CAP-071822.pdf-86-Establish a robust outdoor air quality monitoring network by 2025,2025-02-03T18:14:12.000Z,"[""rechJA9Dut1fHNLHS""]","[""recZlMwcic72dQQ2g""]",,,,,,,
rec04BHIRP3hOJWsO,2025-02-03T17:43:29.000Z,b90334eb-06ab-4fb2-8860-0ce1a5fe9816,Los Angeles,72,Regional Transportation Resilience Data Integration,Ensuring transportation systems can withstand and recover from climate-related shocks and stresses.,Data Integration Platforms,Open Data Sharing Platforms,"The City will partner with key transit agencies to facilitate the exchange of data and information to coordinate and prioritize transportation and transit investments to develop a robust system, capable of withstanding shocks and stresses.","The City will partner with key transit agencies to facilitate the exchange of data and information to coordinate and prioritize transportation and transit investments to develop a robust system, capable of withstanding shocks and stresses. During and after a disaster, it is critical that our regional transportation and transit operators maintain a quickly recoverable service.",Facilitating the exchange of data and information among transit agencies to coordinate and prioritize resilience-building investments in transportation and transit systems.,"The solution explicitly mentions the use of data and information exchange to enhance the resilience of transportation systems, which aligns with modern technology-enabled climate adaptation strategies.",0.8,"data and information exchange
","Collaboration between the City, LADOT, Caltrans, and Metro to share data and align resilience-building efforts.",Climate Adaptation,Los-Angeles-Resilience-Strategy-English.pdf,2025-02-15T12:58:41.883Z,Yes,pending,Yes,Yes,Yes,"[""recNS4CMKQouGcpfy""]",UPDATED,The Category is recategorize from Data Integration Platforms to Infrastructure Adaptation,Data Integration Platforms,2025-02-18T16:17:58.000Z,Source: Los-Angeles-Resilience-Strategy-English.pdf + Page: 72+ solution: Regional Transportation Resilience Data Integration,"Los-Angeles-Resilience-Strategy-English.pdf-72-The City will partner with key transit agencies to facilitate the exchange of data and information to coordinate and prioritize transportation and transit investments to develop a robust system, capable of withstanding shocks and stresses.",2025-02-03T17:43:29.000Z,"[""recgoWOsPlSRHtvnh""]","[""recW69WCUlbIveX6W""]",,,,,,,
rec04oazTkurb6z3C,2025-02-03T18:14:05.000Z,4b225f4c-6c26-48dd-9e51-ac0b56e35b28,New York City,304,Energy Efficiency Web Portal,Lack of centralized information on energy efficiency strategies and resources.,Adaptation Planning,Resource Management Platforms,"create a web portal as a single source of information about energy efficiency financing, incentives, and other resources.","The City will also build out the Building Energy Exchange as a physical resource center for energy efficiency strategies and technologies and create a web portal as a single source of information about energy efficiency financing, incentives, and other resources.","A digital platform providing comprehensive information on energy efficiency financing, incentives, and resources.","The web portal is a digital solution aimed at improving access to energy efficiency information, which supports climate mitigation by promoting energy-saving practices.",0.8,"web portal
",The web portal will serve as a centralized digital resource for energy efficiency information.,Climate Mitigation,New-York-City-Resilience-Strategy-English.pdf,2025-02-03T02:19:56.074Z,Yes,pending,Yes,Yes,Yes,"[""recWpb3QxnEiVqlJo""]",,,Adaptation Planning,2025-02-09T21:43:29.000Z,Source: New-York-City-Resilience-Strategy-English.pdf + Page: 304+ solution: Energy Efficiency Web Portal,"New-York-City-Resilience-Strategy-English.pdf-304-create a web portal as a single source of information about energy efficiency financing, incentives, and other resources.",2025-02-03T18:14:05.000Z,"[""rec6LKDe4b4ih8o89""]","[""reczirxn83VMd6Ynt""]",,,,,,,
rec05w104r368X6Eh,2025-01-29T15:31:57.000Z,349cefb3-f9d6-4981-8060-ad83ea465bc7,Thessaloniki,48,Air Quality Management System,Inaccurate air quality data and lack of centralized monitoring,Hazard Monitoring,Air Quality Alert Systems,There is also currently no Air Quality Management System in operation in greater Thessaloniki. We will create a common platform to centralize and coordinate air quality stations in the metropolitan area.,Air pollution is one of Thessaloniki's most pressing environmental challenges. The city does not have accurate information on current air quality levels due to inconsistencies in data collection across municipal and regional authorities. There is also currently no Air Quality Management System in operation in greater Thessaloniki. We will create a common platform to centralize and coordinate air quality stations in the metropolitan area.,"A digital platform will be developed to centralize and coordinate air quality monitoring stations, improving data accuracy and consistency.","The solution involves creating a digital platform to centralize air quality data, which is a modern technology-enabled approach to improve monitoring and management of air pollution.",0.8,"common platform, air quality stations
",The platform will centralize and coordinate air quality stations in the metropolitan area.,Climate Adaptation and Resilience,Thessaloniki-Resilience-Strategy-English.pdf,2025-01-28T23:25:16.502Z,Yes,pending,Yes,Yes,Yes,"[""rec6EZstJhKvqO24R""]",,,Hazard Monitoring,2025-02-09T21:43:29.000Z,Source: Thessaloniki-Resilience-Strategy-English.pdf + Page: 48+ solution: Air Quality Management System,Thessaloniki-Resilience-Strategy-English.pdf-48-There is also currently no Air Quality Management System in operation in greater Thessaloniki. We will create a common platform to centralize and coordinate air quality stations in the metropolitan area.,2025-01-29T15:31:57.000Z,"[""rechJA9Dut1fHNLHS""]","[""recZlMwcic72dQQ2g""]",,,,,,,
rec06fthCkIdUwgOY,2025-02-03T17:43:31.000Z,ec6a1e45-b45c-45b6-a92b-82f739cdecb5,Calgary,110,Investment in Dark Fibre,Enhancing communication infrastructure resilience,Infrastructure Adaptation,Resilient Telecommunications,investment in dark fibre,"We have begun important capital investment that services will support resilience in the face of shocks and stresses, such as flood adaptation and mitigation, facility and infrastructure sensors, and the investment in dark fibre.","Investment in dark fibre to improve communication infrastructure, which can support resilience by ensuring robust and reliable data transmission capabilities.","Dark fibre is a modern communication technology that can enhance the resilience of telecommunications infrastructure, supporting climate adaptation by ensuring reliable data transmission during climate events.",0.7,"dark fibre
",N/A,Climate Adaptation and Resilience,resiliencestrategybooklet.pdf,2025-02-03T00:33:45.133Z,Yes,pending,Yes,No,Yes,"[""recWpb3QxnEiVqlJo""]",,,Infrastructure Adaptation,2025-02-09T21:43:29.000Z,Source: resiliencestrategybooklet.pdf + Page: 110+ solution: Investment in Dark Fibre,resiliencestrategybooklet.pdf-110-investment in dark fibre,2025-02-03T17:43:31.000Z,"[""recgoWOsPlSRHtvnh""]","[""recW69WCUlbIveX6W""]",,,,,,,
rec09pRxaC08aXn1j,2025-01-29T15:31:54.000Z,ab68c6b5-2037-4a73-ba0c-dc364905a7fc,Warsaw,277,Smart Grid System for Vehicle-to-Grid (V2G) and Vehicle-to-Building (V2B),Integration of renewable energy into electricity grids and stabilization of energy supply.,Infrastructure Adaptation,Smart Grid Management Systems,Development of a feasibility analysis of smart grid system and implementation strategy for Vehicle to Grid (V2G) systems.,"Development of a feasibility analysis of smart grid system and implementation strategy for Vehicle to Grid (V2G) systems. The action includes both V2G systems and also V2B (Vehicle -to-Building) applications, including basic bidirectional charging solutions.","The solution involves developing a smart grid system to facilitate Vehicle-to-Grid (V2G) and Vehicle-to-Building (V2B) applications, enhancing the integration of renewable energy and ensuring energy supply stability.","The solution uses smart grid technology to enhance energy resilience and integrate renewable energy, addressing both adaptation and mitigation.",1,"smart grid system, Vehicle to Grid (V2G) systems, Vehicle-to-Building (V2B) applications, bidirectional charging solutions
","The study will include a feasibility analysis and strategy development for V2G systems, assessing the need for energy grid upgrades.",Both Climate Adaptation and Climate Mitigation,Warsaw_Zielona-Wizja-Warszawy-ENG.pdf,2025-01-28T23:20:45.304Z,Yes,pending,Yes,Yes,Yes,"[""rec6EZstJhKvqO24R""]",,,Infrastructure Adaptation,2025-02-09T21:43:29.000Z,Source: Warsaw_Zielona-Wizja-Warszawy-ENG.pdf + Page: 277+ solution: Smart Grid System for Vehicle-to-Grid (V2G) and Vehicle-to-Building (V2B),Warsaw_Zielona-Wizja-Warszawy-ENG.pdf-277-Development of a feasibility analysis of smart grid system and implementation strategy for Vehicle to Grid (V2G) systems.,2025-01-29T15:31:54.000Z,"[""recwWw58VRFlgZXN3""]","[""recW69WCUlbIveX6W""]",,,,,,,
rec0A0676nqlgvWIV,2025-02-03T17:43:16.000Z,328c08df-c5a2-4533-a9d8-ea10231af4e6,Toronto,97,Flood Mapping Tool,Flood risk and vulnerability to extreme weather events,Water Resilience,Flood Mapping Platforms,"The flood mapping tool will include data regarding opportunities to adapt and apply the tool to other equity-seeking groups and other vulnerable hazards, like extreme heat.","The flood mapping tool will include data regarding opportunities to adapt and apply the tool to other equity-seeking groups and other vulnerable hazards, like extreme heat. The Resilience Office populations, where possible, so that it can be used in decision making about reducing flood risk.","A digital tool designed to map flood risks and integrate data for decision-making to reduce flood impacts, especially for vulnerable populations.","The solution involves a digital tool for mapping and decision-making, which aligns with the taxonomy category of flood mapping platforms.",0.8,"flood mapping tool
",The tool will be developed with input from the Flood Resilience Working Group and will be available online to the public.,Climate Adaptation and Resilience,toronto-resilience-strategy.pdf,2025-02-02T23:56:22.152Z,Yes,pending,Yes,Yes,Yes,"[""recWpb3QxnEiVqlJo""]",,,Water Resilience,2025-02-09T21:43:29.000Z,Source: toronto-resilience-strategy.pdf + Page: 97+ solution: Flood Mapping Tool,"toronto-resilience-strategy.pdf-97-The flood mapping tool will include data regarding opportunities to adapt and apply the tool to other equity-seeking groups and other vulnerable hazards, like extreme heat.",2025-02-03T17:43:16.000Z,"[""rec56OuHUWtmF474v""]","[""recxG8gMU2ifwGwIX""]",,,,,,,
rec0CRkfVCMtoSkg8,2025-02-03T17:42:56.000Z,5d493aa9-da5f-4526-b780-0747e472f19c,Toyama,99,Collaborative Sensor Network Integration,Need for enhanced situational awareness and response during emergencies,Hazard Monitoring,Environmental Sensor Networks,"The platform will not only be used to disseminate road work and traffic restriction information and emergency activity information that is integrated on the platform separately, but it will also create new value through collaboration with the Toyama City Sensor Network on a reciprocal basis.","The platform will not only be used to disseminate road work and traffic restriction information and emergency activity information that is integrated on the platform separately, but it will also create new value through collaboration with the Toyama City Sensor Network on a reciprocal basis.",Integration of a sensor network with a digital platform to enhance information dissemination and emergency response.,The integration of a sensor network with a digital platform enhances real-time monitoring and response capabilities.,0.9,"Platform, sensor network, information dissemination
",Collaborates with a sensor network to enhance platform capabilities.,Climate Adaptation and Resilience,The-Development-Story-of-Toyama-Reshaping-Compact-and-Livable-Cities.pdf,2025-02-02T22:51:41.980Z,Yes,pending,Yes,Yes,Yes,"[""recWpb3QxnEiVqlJo""]",,,Hazard Monitoring,2025-02-09T21:43:29.000Z,Source: The-Development-Story-of-Toyama-Reshaping-Compact-and-Livable-Cities.pdf + Page: 99+ solution: Collaborative Sensor Network Integration,"The-Development-Story-of-Toyama-Reshaping-Compact-and-Livable-Cities.pdf-99-The platform will not only be used to disseminate road work and traffic restriction information and emergency activity information that is integrated on the platform separately, but it will also create new value through collaboration with the Toyama City Sensor Network on a reciprocal basis.",2025-02-03T17:42:56.000Z,"[""recqFLsJRhgvfAVe9""]","[""recZlMwcic72dQQ2g""]",,,,,,,
rec0DSe6TgGdfKpBG,2025-02-18T16:18:56.000Z,370df21d-c330-47a4-bd02-659e8a07d9d4,St. Louis,26,Smart Governance for Climate Adaptation,"Need for effective and efficient government services to address rapid social, environmental, and economic changes.",Adaptation Planning,Decision Support Systems,"Today, cities all around the world are turning toward 'smart governance' as a critical tool to both maintain and improve the effectiveness and efficiencies of government services.","Today, cities all around the world are turning toward 'smart governance' as a critical tool to both maintain and improve the effectiveness and efficiencies of government services. Like never before, use of digital technology, the 'internet of things' (IOT), and open data are creating opportunities for a more proactive and inclusive local government in St. Louis.","Smart governance leverages digital technology, IoT, and open data to improve government service delivery, enabling proactive and inclusive management of complex issues, including climate adaptation challenges.","The solution explicitly mentions the use of digital technology, IoT, and open data to enhance governance, which aligns with climate adaptation needs for managing complex issues and improving resilience.",0.8,"digital technology, internet of things (IoT), open data
",Not explicitly mentioned in the text.,Climate Adaptation,Resilient-St-Louis_FINAL-PRINT.pdf,2025-02-15T15:01:43.202Z,Yes,pending,Yes,No,Yes,"[""recNS4CMKQouGcpfy""]",NEW,The Category is recategorize from Adaptation Planning to ,Adaptation Planning,2025-02-18T16:18:56.000Z,Source: Resilient-St-Louis_FINAL-PRINT.pdf + Page: 26+ solution: Smart Governance for Climate Adaptation,"Resilient-St-Louis_FINAL-PRINT.pdf-26-Today, cities all around the world are turning toward 'smart governance' as a critical tool to both maintain and improve the effectiveness and efficiencies of government services.",2025-02-18T16:18:56.000Z,,,,,,,,,
