id,createdTime,Subcategory Name,Created Date,Status,Parent Category,Taxonomy Version,Last Updated,Solutions
rec00TS5c2otJF3zC,2025-01-28T07:45:50.000Z,Emergency Food Distribution,2025-01-28,Active,"[""reczWby8ynKcMq1CD""]",V_01-28-2025-00-00-00,2025-01-28T07:45:50.000Z,
rec0Wd0VjRVizzU4n,2025-01-28T07:45:46.000Z,Health Outbreak Monitoring,2025-01-28,Active,"[""rechqr3Zono6Xqmcq""]",V_01-28-2025-00-00-00,2025-01-28T07:45:46.000Z,
rec0g0qwMEMecIKPW,2025-01-28T07:45:38.000Z,Volunteer Management Systems,2025-01-28,Active,"[""recz2FK1dAxPB2MvE""]",V_01-28-2025-00-00-00,2025-01-28T07:45:38.000Z,
rec0gX7ou9bfC5tiE,2025-01-28T07:45:45.000Z,Vulnerable Population Tracking,2025-01-28,Active,"[""rechqr3Zono6Xqmcq""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""recfdDeepZ6axyt6L"",""recEAJsUjaOcsq2rl"",""recenM2nfPD13kULu"",""recvhroSaKvhBai9i"",""recgAQ7msn47zzaeF"",""recUo6mE08WAkuaMA""]"
rec13uEWUoFHzSUVM,2025-01-28T07:46:02.000Z,Automated Compensation Systems,2025-01-28,Active,"[""recL0YYzJkzLRAX9A""]",V_01-28-2025-00-00-00,2025-01-28T07:46:02.000Z,
rec1AB7o34NKxzQQo,2025-01-28T07:45:39.000Z,Storm Surge Protection,2025-01-28,Active,"[""reciGjhvWmulaMj4S""]",V_01-28-2025-00-00-00,2025-01-28T07:45:39.000Z,
rec1FN2bL52d8k28e,2025-01-28T07:45:29.000Z,Real-Time Analytics Platforms,2025-01-28,Active,"[""recZlMwcic72dQQ2g""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""recOQI5M7pHh8OqkF"",""rec7rkEqEu7Vlspnj"",""recl3ZvWcC7ZPtJAF"",""recyyPtZR22bly109"",""recFqfK4SEgkmb2H9"",""rec41iBtezqBlAi3s"",""recLpc2wWiIRWin2n"",""rec4io12ejJYi6ZpO"",""reclXgmQGnknfa7TH"",""recIdST62GYoxfVKN"",""recvjIte8LYUvAPfX"",""recZKKptxQGXLVajs"",""recknDFMJcyUkeXg8"",""recYIGCYL3Ju0hdBY"",""recCxWvSEznzFBzph""]"
rec1Hfy9WJfB6vbzR,2025-01-28T07:45:45.000Z,Water Distribution Automation,2025-01-28,Active,"[""recxG8gMU2ifwGwIX""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""rec5pFEb63TnFIXCz"",""recmhiTBGvXx6XUP2"",""recaGGHMNqnACGxgD"",""rec0cnDqYgR0H6m5O"",""recuk67tLNaowZsHT"",""recIaLKOV9kb6jf77"",""recLDaE52m5DSDUua"",""recVhugDELdEcVsYD""]"
rec1MlXogTuV3dRlg,2025-01-28T07:45:31.000Z,Ai-Powered Hazard Prediction Systems,2025-01-28,Active,"[""recZlMwcic72dQQ2g""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""recuxhyjI9EaaIgKd"",""recT62VGAOrmksOxc"",""recWcI1tdK2fINjKT""]"
rec1XCVo2uKZZ3A91,2025-01-28T07:45:52.000Z,Harvest Forecasting Tools,2025-01-28,Active,"[""reczWby8ynKcMq1CD""]",V_01-28-2025-00-00-00,2025-01-28T07:45:52.000Z,
rec1bnLR8K2uaBpRR,2025-01-28T07:45:38.000Z,Coastal Defense Monitoring,2025-01-28,Active,"[""reciGjhvWmulaMj4S""]",V_01-28-2025-00-00-00,2025-01-28T07:45:38.000Z,
rec27M2VUML7mlooM,2025-01-28T07:45:41.000Z,Green Infrastructure Systems,2025-01-28,Active,"[""reciGjhvWmulaMj4S""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""recR5onlAm0fFueN5""]"
rec2XiOJmVA2PlP9k,2025-01-28T07:45:44.000Z,Water Loss Detection Systems,2025-01-28,Active,"[""recxG8gMU2ifwGwIX""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""recntIcM00cwxQdWD"",""recYuyGPq3R63WuVz"",""recs5XOvVFmhFvWK3"",""recCdSxVcuXWlyyWq""]"
rec2dm9qRW4KTtWDA,2025-01-28T07:45:38.000Z,Mass Notification Systems,2025-01-28,Active,"[""recz2FK1dAxPB2MvE""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""recJHUtCXINQ8tGBE""]"
rec2jRps8eIWRuocI,2025-01-28T07:45:48.000Z,Vector-Borne Disease Monitoring,2025-01-28,Active,"[""rechqr3Zono6Xqmcq""]",V_01-28-2025-00-00-00,2025-01-28T07:45:48.000Z,
rec2opYHNMK9jvBGP,2025-01-28T07:45:36.000Z,Resource Allocation Systems,2025-01-28,Active,"[""recz2FK1dAxPB2MvE""]",V_01-28-2025-00-00-00,2025-01-29T15:29:00.000Z,
rec34TimD9KER8324,2025-01-28T07:45:56.000Z,Impact Modeling Platforms,2025-01-28,Active,"[""reczirxn83VMd6Ynt""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""rec1inkWEDZr0rnP4"",""recLsIhd1cPJMPDgX"",""recSVYIIbN83O3BJx"",""recKOT0dP6OONKMre"",""recoSE5D9mZBINdmY"",""rechlydCUJanhr0dd"",""recRD3BfA6tWUtRPE"",""recG5N0WTQX3i4c1r"",""recKTopGKAzx95Fld"",""recqDc6FbzMDXKpLS"",""recW4ggjfExmawNPi"",""recQxyzUOmVmHbb9W"",""recvFr3DcbOvM7AkP"",""recBfIxUDkk9QeEWp"",""recB3N4XzXDNIh08T"",""recdJdWhyAf66dA6m"",""recwlIiAxJ6l1FHRW"",""recDS7Kn06HDxlFVV"",""recsCHaKZs8KPkggR"",""recw9XC0U5TcGTqX4"",""rec0S3v06Ygs6QN9r"",""recsG8bPbEFuANyNE"",""recZkZu1jqt6xshNe"",""rec3Tyc8aoalLGxMj"",""reccE0BGbV5UiK2Xa"",""recGyTVvLKvbIakN1"",""recMcyznBXdYdXzhz"",""recqC5IS3piRaeduo"",""reccf70ESDLtaNihb"",""recnQZijevzdxTggC"",""rec2vgKBaWih4cClR"",""rec5MZZTtmMO90VpV"",""rec6aZse9Lj855KXk"",""recEqGn3kTRK3mzHR"",""recHExTp7ifVSQ5Kf"",""recRGR35wPWQ2OxlG"",""recZZjuLDlq0QFUUJ"",""recC199MOD6Cj3Rql"",""recLGN4iQbuf5mCgq"",""recGYkIJEm1uI1ecX"",""recRrDhg30G1QHwEW"",""recQgoteSaml1d9XW"",""reckLfzJH8V5oFkwk"",""rec3825uBhoxVPUHh"",""recDUFNulFwOLhlhB"",""recYrNw9TBnypTTc9""]"
rec35U73tZ86pGbkI,2025-01-28T07:45:58.000Z,Decision Support Systems,2025-01-28,Active,"[""reczirxn83VMd6Ynt""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""recHsnuzgJoKYi0FQ"",""recStkj15YILsIjB6"",""recYJfNInFiSUDUOP"",""recedNvITmeFPTPzq"",""recxXgxUrbze7geAh"",""recW2keWc2hhi5gO0"",""recjRlK7YwSoxJRZS"",""recUQIwmVND1T93B3"",""recYnKFYtS9NvT6kh"",""rec3PNzlKVHSGsd1N"",""recZq04YyuuFHrtZK"",""recihuFZ92wYmqVU9"",""recsvdJoqvs2OwrlN"",""recK6FkPJkmOZ8mKV"",""rec9smjOWqh3t0QEI""]"
rec3OERhEc6XDp3dk,2025-01-28T07:45:43.000Z,Drought Monitoring Systems,2025-01-28,Active,"[""recxG8gMU2ifwGwIX""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""recv2KjO5Q061V2ay""]"
rec3wDGaUBqv7bEm9,2025-01-28T07:45:47.000Z,Health Supply Tracking,2025-01-28,Active,"[""rechqr3Zono6Xqmcq""]",V_01-28-2025-00-00-00,2025-01-28T07:45:47.000Z,
rec4UKXLVwc1FR9Dz,2025-01-28T07:46:02.000Z,Economic Adaptation Metrics,2025-01-28,Active,"[""recL0YYzJkzLRAX9A""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""recKilTztehAk4RpN""]"
rec4ZiH6rkvmvQV2E,2025-01-28T07:45:55.000Z,Local Governance Tools,2025-01-28,Active,"[""recsKvsr32KNM9vvq""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""rec8G5TxS6O9cjHc3""]"
rec4joCJfVpxb0xi3,2025-01-28T07:45:39.000Z,Biodiversity Tracking Systems,2025-01-28,Active,"[""reciGjhvWmulaMj4S""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""recloE5WAp6pgljsV""]"
rec54eCPL6Zob5vOv,2025-01-28T07:46:00.000Z,Investment Risk Analysis,2025-01-28,Active,"[""recL0YYzJkzLRAX9A""]",V_01-28-2025-00-00-00,2025-01-28T07:46:00.000Z,
rec55irUUYT9QOlrt,2025-01-28T07:45:38.000Z,Emergency Medical Dispatch,2025-01-28,Active,"[""recz2FK1dAxPB2MvE""]",V_01-28-2025-00-00-00,2025-01-28T07:45:38.000Z,
rec56OuHUWtmF474v,2025-01-28T07:45:42.000Z,Flood Mapping Platforms,2025-01-28,Active,"[""recxG8gMU2ifwGwIX""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""recJf6QC7z55cRbkt"",""recUPtIdL8IslBe6U"",""recfaacT5wffZ4K8V"",""receQyRT5L7Rx3ESu"",""recL5koUCSpuYkAA3"",""rec7VYwJiEUCbFYMB"",""recZcJ9DbwiegzJSx"",""reckrL3urhU10RO9p"",""rec0A0676nqlgvWIV"",""recD81BQsJ3mzg0WC"",""recBZPs3f9so8LdoA"",""recjjvDtoNYqTGrIT""]"
rec5m7lftl5qGRNh5,2025-01-28T07:45:36.000Z,Public Information Systems,2025-01-28,Active,"[""recz2FK1dAxPB2MvE""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""recLt2obCOQ3vnnFp"",""rec2DmzUCo15HToN7"",""reccMS3ESULtWCTSw"",""recMORmVdPSDYSYPE"",""rec46j0vEN3yK1NML"",""recrErnwQ98nDhO8a"",""recYgWK7htxyO6ATe"",""rec4PPltAXI19nLfH"",""recqds7jPBnK9ObGj"",""rec7m1engGbUExEfp"",""rec399qvnIGtvhmnn"",""recUwEqR9TwNGymam"",""recNjTvxmP3W0IEPo"",""recEoOnSYO2QiQdT5"",""recNOr5rIMby4JIsf"",""recdH02EYaJlPlrpN"",""rech6lPf3lpLPLf5P"",""rec70Sb9Z9uEBXZN6""]"
rec60KgEEGSkpQ0yZ,2025-01-28T07:45:29.000Z,Urban Heat Sensors,2025-01-28,Active,"[""recZlMwcic72dQQ2g""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""recZNhDmIcOMFA1XM"",""recrvb4kUKQIMslps"",""recRsQuhnJ0ZKWRLv"",""recT8jlZAXh5gOu2r"",""rec6Yc79FodLBcjOh"",""recmROOrmWTDZwuMQ"",""rec0hnacZDyQDKmJI"",""reciMWlmqBKOd0GrM"",""recG6Szcz47BZvFgG"",""rec5GkM2uXwUm3Xva"",""recbifEVTDzStGu9T"",""recRmFwBX9gSkAccF""]"
rec6Fn9JFMwpnHScC,2025-01-28T07:45:32.000Z,Heat-Resistant Building Materials,2025-01-28,Active,"[""recW69WCUlbIveX6W""]",V_01-28-2025-00-00-00,2025-01-28T07:45:32.000Z,
rec6LKDe4b4ih8o89,2025-01-28T07:45:56.000Z,Resource Management Platforms,2025-01-28,Active,"[""reczirxn83VMd6Ynt""]",V_01-28-2025-00-00-00,2025-02-09T21:43:29.000Z,"[""rec3h6n6P8SBl0xbm"",""recjFoZS6d7NIQ5K2"",""rec04oazTkurb6z3C"",""recEyHOCL766N3gmE"",""recYGadCRwZ96ChAG"",""recxCMqJXdPs5F1Fq"",""recHKhXIox0lsq5wO"",""recQwAnZoVigRhvp3"",""recmqCVw40i13VgZb"",""rec8LEObzV2LNo7ot"",""reclT1zM0RZAE2o0s"",""recxBqcHUFYB4dafm"",""recCQ4G4xtatW0aIu"",""rectP3xKg1X0nLXFA"",""rec2lM1PTjQ03zFCz"",""recHAIjzWgOJcbwoA"",""recKqPaUS2I3IQgNw"",""recn8f22pnfLpcAop"",""recYPsW7ap541CAaG"",""rec39NAg9fPK63kv2"",""recafL3k0Pu1f97xW"",""recMm704JvMGMKyX8"",""recAofMMJ5qc5Adwt"",""recdwvFMemNkgLqMr"",""reciaLWGfORI3WGiQ"",""recjMYSagFyVO27C0"",""reck3WYhuJ1yz4HPa"",""recSgqbnpvauIYPew"",""reccsbRMiocgijKSE"",""recfjrStpi4caybDK"",""recNmjrmAo180U4Vq"",""reckS2nuoBGhiiAU3"",""recIXdBeE9AhNIfw0""]"
